[ 1108.545847]  logcat
W/PackageManager(  973): Unknown permission android.permission.APPWIDGET_LIST in package com.iflytek.vaf
W/PackageManager(  973): Unknown permission android.permission.APPWIDGET_LIST in package com.biaoqi.stbwidget.host
W/PackageManager(  973): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.coship.dvbsetting
W/PackageManager(  973): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.coship.dvbsetting
W/PackageManager(  973): Unknown permission android.permission.APPWIDGET_LIST in package com.mstar.appwidget
W/PackageManager(  973): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.coship.sdp.sce.tvappstore
W/PackageManager(  973): Unknown permission android.permission.READ_EXTERNAL_STORAGE in package com.coship.sdp.sce.tvappstore
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.WRITE_GMAIL in package com.coship.sdp.sce.tvappstore
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.coship.sdp.sce.tvappstore
W/PackageManager(  973): Unknown permission com.android.launcher.permission.INSTALL_SHORTCUT in package com.android.browser
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.WRITE_GMAIL in package com.coship.app.vaf
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.coship.app.vaf
W/PackageManager(  973): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.coship.app.vaf
W/PackageManager(  973): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.coship.app.vaf
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.WRITE_GMAIL in package com.coship.TestApp
W/PackageManager(  973): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.coship.TestApp
W/PackageManager(  973): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.coship.TestApp
W/PackageManager(  973): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.coship.TestApp
W/PackageManager(  973): Unknown permission android.permission.WRITE_OWNER_DATA in package com.iflytek.speech
W/PackageManager(  973): Unknown permission android.permission.BAIDU_LOCATION_SERVICE in package com.iflytek.speech
W/PackageManager(  973): Unknown permission android.permission.APPWIDGET_LIST in package com.iflytek.xiri.recorder.svc
