--------- beginning of /dev/log/system
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.READ_OWNER_DATA in package com.qihoo.appstore
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.WRITE_OWNER_DATA in package com.qihoo.appstore
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.qihoo.appstore
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.qihoo.appstore (protectionLevel=2 flags=0xbe44)
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.WIFI_STATE_CHANGED in package com.tencent.news
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.android.launcher2.permission.READ_SETTINGS in package com.tencent.news
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.READ_SETTINGS in package com.android.filelist
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.READ_MEDIA in package com.android.filelist
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.android.filelist (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.android.nfc.permission.NFCEE_ADMIN in package org.simalliance.openmobileapi.service
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.ACCESS_COARSE_UPDATES in package com.sina.weibo
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.READ_LOGS to package com.wandoujia.phoenix2 (protectionLevel=50 flags=0x8be44)
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.android.launcher.permission.CREATE_SHORTCUT in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.BROADCAST_PACKAGE_REMOVED to package com.wandoujia.phoenix2 (protectionLevel=2 flags=0x8be44)
